Financial Year,Date,Supplier,Amount,Activity Type,R&D Confidence,Meets Div355,Outcome Unknown,Systematic,New Knowledge,Scientific Method,Reasoning,Transaction ID
FY2024-25,2025-02-25,Anthropic,875.94,not_eligible,60,No,No,No,No,No,"While the transaction involves AI, it's unclear if the purchase of 'Ai Phill' constitutes R&D. There's no information to suggest the four elements of Division 355 are met. It is likely a software subs",8814ee15-118e-488f-b449-0b3e0434888c
FY2024-25,2025-05-30,Anthropic,867.09,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' suggests potential R&D related to Artificial Intelligence. However, without further information, it's impossible to determine if the four elements of Division 355 are met.",16d80efd-858b-4583-9c0c-7c0fc940b5f0
FY2024-25,2025-04-07,Anthropic,155.08,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the nature of the service, it's impossible to determine if it meets all four ",afb4f972-3ac1-4b52-b89b-3a304dc9bbc7
FY2024-25,2025-02-05,Anthropic,152.1,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential software or AI-related activity. However, there is insufficient information to determine if it meets all four elements of the R&D tax incen",bc26ce32-68cd-4051-b61e-03a4961fff56
FY2024-25,2025-02-05,Anthropic,151.64,not_eligible,60,No,No,No,No,No,"The transaction description 'from Anthropic - Ai Phill' suggests the use of AI software. While AI development can be R&D, the description lacks sufficient detail to determine if the four elements of D",1148b9c6-db76-4be0-aa8b-75d1f6b37eac
FY2024-25,2025-02-14,Anthropic,150.85,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves a system",ea59ac07-0cde-4193-842d-cca44fbe4142
FY2024-25,2025-02-08,Anthropic,150.82,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information, it's impossible to determine if the four elements of Division 355 are met. It is u",d98d8b3e-9dca-4b06-8bc7-9968e0be77fe
FY2024-25,2025-02-04,Anthropic,150.43,not_eligible,60,No,No,No,No,No,"While the use of AI tools *could* potentially be related to R&D, the description 'Ai Phill' is too vague to determine if the four elements of Division 355 are met. It's unclear if this is a routine ap",93660da9-1476-4453-9706-124bf4e09362
FY2024-25,2025-02-02,Anthropic,150.05,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 are met. The description lacks d",0bf9bb5f-62a4-492d-9699-ab1bde06aa5d
FY2024-25,2025-01-31,Anthropic,149.9,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to determine if it meets all four elements of Division 355. Further investigation ",5fa82115-e864-4760-bf7e-1e3d5342395d
FY2024-25,2025-02-12,Anthropic,149.85,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' suggests a software or AI-related service. While potentially innovative, there's insufficient information to determine if it meets all four elements of Division 355. It's un",239dc5ec-d5a3-49b3-943e-0eb70c9ab700
FY2024-25,2025-02-13,Anthropic,149.75,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to confirm that the four elements of Division 355 have been",40dbf0b7-6d63-43c4-86e6-21b610d00372
FY2025-26,2025-08-09,Anthropic,149.64,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets all four elements of Divisi",3b68604b-e85d-4be4-9c3b-6aa9d75320dc
FY2024-25,2025-02-11,Anthropic,149.44,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if the four ",440334fe-77b7-4eae-8e08-d9b93773c9bb
FY2024-25,2025-02-17,Anthropic,149.33,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information, it's impossible to determine if the four elements of Division 355 are met. It is u",d4573252-2af1-466b-8f87-2d2f65abf3e0
FY2024-25,2025-02-10,Anthropic,148.89,not_eligible,60,No,Yes,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 have been met. Without more deta",28301db0-3007-4afc-ab69-1f4ab082c93a
FY2024-25,2025-02-07,Anthropic,148.79,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets the four-element test. It's",4a1b8fad-e6ef-432e-b2f3-ecdaa570b532
FY2024-25,2025-02-08,Anthropic,148.78,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if it meets ",8c748153-2405-445b-bfb9-3fb5d78070c3
FY2024-25,2025-02-15,Anthropic,148.67,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the description lacks sufficient detail to determine if the four R&D elements are met. It's ",cc053ce8-cc23-435e-a29d-fc6675fc10e9
FY2024-25,2025-02-13,Anthropic,148.36,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to determine if the four elements of Division 355 are met. ",d054e01a-57d8-479a-9a36-e5bda65d2a0c
FY2024-25,2025-02-11,Anthropic,148.03,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to confirm that the four elements of Division 355 are met. ",a9c47ce2-0eb2-48e3-ba79-8140decca2fe
FY2024-25,2025-02-28,Anthropic,147.94,not_eligible,60,No,No,No,No,No,"The transaction description 'from Anthropic - Ai' and line item 'Ai' suggests potential R&D activity related to Artificial Intelligence. However, there is insufficient information to determine if the ",f7cb3138-dd22-499d-bdd9-14147ccf232d
FY2024-25,2025-03-16,Anthropic,147.76,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets the four-element test. It's unclear if the",26957b3b-cf56-4f86-bbfd-cac45e6ee14b
FY2024-25,2025-03-09,Anthropic,147.64,not_eligible,60,No,No,No,No,No,"While the transaction involves AI, the description 'Ai Phill' is insufficient to determine if the activity meets all four elements of Division 355. There is no evidence of systematic approach, new kno",4de93085-2ada-491b-bead-e03aef08b5dd
FY2024-25,2025-02-18,Anthropic,147.57,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets the four-element test. It's",d6335e40-bf07-44e1-94cd-ed345d2552df
FY2024-25,2025-02-21,Anthropic,147.12,not_eligible,60,No,Yes,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if the four ",304ffd04-ae05-4762-8dee-28ae3d771acf
FY2024-25,2025-02-24,Anthropic,147.1,not_eligible,60,No,No,No,No,No,The description 'Ai' from Anthropic is insufficient to determine if the four elements of Division 355 are met. Further information is needed to assess the nature of the AI service and its application ,e526bef1-0284-4703-b2a8-74f84d61eb89
FY2024-25,2025-02-16,Anthropic,147.04,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' suggests the use of AI software. While AI development can be R&D, the description lacks sufficient detail to determine if the four elements of Division 355 are met. It's unc",66ffc26a-116c-4fa5-b6d4-8afcb26e7202
FY2024-25,2025-02-17,Anthropic,147.04,not_eligible,60,No,No,No,No,No,"While the transaction involves AI, which could potentially be related to R&D, there is insufficient information to determine if the four elements of Division 355 are met. The description 'Ai Phill' is",7db917b3-7ef3-44ac-b73b-0a2d212fdb82
FY2024-25,2025-02-18,Anthropic,146.73,not_eligible,60,No,No,No,No,No,"While 'Ai Phill' suggests potential R&D, the description lacks detail to confirm if it meets all four elements of Division 355. It's unclear if the outcome was unknown, if a systematic approach was us",8cfbf7bb-624c-4795-9717-762db3c24095
FY2024-25,2025-02-19,Anthropic,146.23,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential software or AI-related activity. However, without more information, it's impossible to determine if it meets the four elements of Division ",85175981-d4f2-425c-8466-36354911ecf6
FY2024-25,2025-02-25,Anthropic,146.07,not_eligible,60,No,Yes,No,No,No,"The transaction description 'from Anthropic - Ai' and line item 'Ai' suggests potential R&D activity related to Artificial Intelligence. However, there is insufficient information to determine if the ",974ee8fc-566d-4bc8-b0a6-582dd29f8653
FY2024-25,2025-06-01,Anthropic,144.97,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 are met. The description lacks d",bd1d0710-f240-4926-b00b-f27d17ecc9e9
FY2024-25,2025-05-25,Anthropic,144.27,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if it meets ",43be084f-f64b-4a64-b5f5-2a089ce5a5a1
FY2024-25,2025-06-09,Anthropic,143.78,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential software or AI-related activity. However, there is insufficient information to determine if it meets all four elements of the R&D tax incen",97aa8a78-9ec3-4cd7-9f9a-d2db250c3f34
FY2023-24,2023-07-25,Caltex,95.01,supporting_rnd,60,No,No,No,No,No,"The transaction involves fuel for travel to 'Litmas Lab'. While 'Litmas Lab' suggests a laboratory environment potentially related to R&D, there's insufficient information to confirm if the travel dir",0e0092cb-00f0-446f-bc03-ef1e9c562f1c
FY2024-25,2024-12-16,Anthropic,72.1,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' from Anthropic suggests potential R&D related to Artificial Intelligence. However, without more details, it's impossible to determine if the four elements of Division 355 ",d62bf5b9-5e82-4876-b30e-1e2fb6a43ee5
FY2024-25,2024-12-13,Anthropic,71.42,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' suggests the use of AI software, potentially for R&D. However, without more information, it's impossible to determine if the four elements of Division 355 are met. It's un",02909138-0c75-4a49-a89e-7c9fe3881912
FY2025-26,2025-10-18,Vercel,63.54,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. Specifically, it's unclear if the activity involves generating new knowledge",8d7dc844-9c32-493b-88e8-a76830777013
FY2024-25,2025-06-18,Vercel,63.39,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. Without more information, it's difficult to determine if the activity involv",5eec693d-d8d3-43a2-9fc3-96e730935e42
FY2024-25,2025-06-18,Vercel,63.39,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",9d0e6793-7b03-402e-b2d7-4f9d85c2c716
FY2025-26,2025-09-16,Replit,62.16,not_eligible,60,No,No,No,No,No,"While the transaction relates to a software creation platform, there is insufficient information to determine if the use of the platform constitutes R&D activities. The four-element test cannot be con",56695e4d-245f-4896-98aa-e2ac7709fc6d
FY2025-26,2025-09-18,Vercel,61.89,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but there is insufficient information to confirm that the four elements of Division 355 are met. Specifically, there is no evidence of a systematic ap",4829a1d5-d6ba-48de-bc2f-bb36a3c8f9f9
FY2024-25,2025-01-23,Anthropic,41.44,not_eligible,60,No,Yes,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 are met. It is unclear if the ac",90b963d1-d8cd-4922-a0bf-a00f82cada5b
FY2024-25,2025-01-14,Chat GPT,36.96,not_eligible,60,No,No,No,No,No,"While the use of Chat GPT *could* be related to R&D activities, the description 'Chat GPT' is insufficient to determine if the four elements of Division 355 are met. It's unclear if the use of Chat GP",d5d3c4e0-f478-4c6d-a467-602a1d0c66c8
FY2024-25,2025-01-24,OpenAi,36.22,not_eligible,60,No,No,No,No,No,"While the use of AI tools *could* be related to R&D activities, the description 'New CHAT GPT subscription' is too vague to definitively confirm that the four elements of Division 355 are met. Further",cd57555b-3e14-4b82-8d13-08d18865c4aa
FY2024-25,2025-05-24,OpenAi,35.35,not_eligible,60,No,No,No,No,No,"While ChatGPT could be used for R&D activities, the subscription itself doesn't automatically qualify. The four-element test is unlikely to be met without further information on how the subscription i",4b9e162e-dfcc-419a-99f0-b518f3999fbd
FY2024-25,2025-06-24,OpenAi,35.09,not_eligible,60,No,No,No,No,No,"While the use of AI tools *could* be related to R&D activities, the description 'New CHAT GPT subscription' is too vague to definitively conclude that it meets all four elements of Division 355. It's ",c2c324e8-9b5d-4b80-80b7-58a95cce3349
FY2025-26,2025-09-24,OpenAi,34.47,not_eligible,60,No,No,No,No,No,"While the use of AI tools *could* be part of an R&D process, the description 'New CHAT GPT subscription' alone does not provide sufficient evidence to confirm that the four elements of Division 355 ar",4a9c594b-84f9-4982-8334-f6b8d23c7ff5
FY2024-25,2025-01-19,Vercel,33.42,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",235323cf-68dd-4033-b206-c206d3c1bf83
FY2024-25,2025-01-22,Vercel,33.24,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",95a48637-5e73-43b3-8b06-782ee2e5c290
FY2024-25,2025-02-07,Cursor,32.86,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' suggests potential R&D related to Artificial Intelligence. However, without further details, it's impossible to determine if the four elements of Division 355 are met. It'",d6d44587-d596-463e-9fe4-d5951988a0de
FY2024-25,2024-12-19,Vercel,32.52,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",3090576b-0619-4b79-970b-485986ed7ec8
FY2024-25,2025-02-19,Vercel,32.41,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",b1dd0e9d-a0f0-46c8-8d9d-4fe8c9bb44c6
FY2025-26,2025-07-19,Vercel,31.99,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' from Vercel suggests potential R&D, but there is insufficient information to confirm that the four elements of Division 355 are met. Further investigation is needed to determ",ffc1e7fa-ff18-4a20-a020-75f37757784d
FY2025-26,2025-10-19,Vercel,31.98,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but there is insufficient information to confirm that the four elements of Division 355 are met. It is unclear if the activity involves generating new",23a79083-ced0-4a9d-a8a2-b6a1b3241a23
FY2024-25,2025-06-09,Vercel,31.8,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves a systematic approach, generates new k",ca7bd6aa-ce0f-47d8-9b95-777e5e5b415b
FY2024-25,2025-06-18,Vercel,31.69,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves generating new knowledge or applying a",efe918e8-2a17-4906-8536-de628f31f228
FY2024-25,2025-06-19,Vercel,31.68,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm eligibility under Division 355. The four-element test cannot be confidently assessed without further informatio",f6bb2d48-97b7-403b-b931-75cf28183bc5
FY2024-25,2024-10-22,Vercel,30.73,not_eligible,60,No,No,No,No,No,"The description 'Ai/Apps' suggests potential R&D, but without further information, it's impossible to determine if it meets all four elements of Division 355. It's unclear if the outcome was unknown, ",cdb4bedd-28da-4fd3-8e69-d188cda3c8cd
FY2024-25,2025-04-19,Openrouter,16.01,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' from Openrouter suggests the use of AI software. While AI development can be R&D, the provided information is insufficient to determine if the four elements of Division 35",dfa2ae29-3545-4a94-b9d0-3f6bb28d7d64
FY2024-25,2025-04-18,Openrouter,16.01,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' from Openrouter suggests the use of AI software. While AI development can be R&D, the provided information is insufficient to determine if the four elements of Division 35",9e5f18f1-8670-473e-9016-54cc38ec9334
FY2024-25,2025-05-23,Openrouter,15.76,not_eligible,60,No,No,No,No,No,"The transaction description 'Ai - Phill' from Openrouter is insufficient to determine if the four elements of Division 355 are met. While it suggests potential R&D related to AI, there's no evidence o",fe4f06e8-c504-4a27-bde2-3c9df5c437ae
FY2024-25,2025-05-23,Openrouter,15.76,not_eligible,60,No,No,No,No,No,"The transaction description 'Ai - Phill' from Openrouter suggests potential use of AI, but lacks sufficient detail to determine if it meets the four-element test for R&D. There is no evidence to sugge",42c5a213-9329-4229-a230-5c6f04f34a6e
FY2024-25,2025-05-21,Redis,4.21,not_eligible,50,No,No,No,No,No,"The description 'Phill - Ai' suggests potential AI-related work, but there is insufficient information to determine if it meets the four-element test for R&D. The lack of detail prevents a confident a",79b206ed-1e54-4b42-9a7c-fb91e95b96f5
